x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,Y
98.3,89.802,-1.5,3.15,11.33,2.66,8.22,8.28,98.28,9.5,8.24,91,1290.5,3.2,10.3,832.2,817.4,0,36.44,164,164.2,163.8,163.9,163.9,163.3,163.2,164.1,164,164,163.9,164.2,164.1,163.9,164.1,164,27.7,0
99.4,89.837,0.01,3.17,10.76,2.645,8.15,8.23,98.3,9.5,8.17,87.5,1284.6,2.8,10.7,831.9,817.9,0,36.46,164,164,164,164.8,164.8,164,164,164,164,164,164,164.4,164.3,164,164,164,31,0
94.9,89.832,-1.81,3.18,10.96,2.606,8.17,8.24,98.31,9.5,8.17,84.8,1272,3.1,9.8,831.7,818.3,0,36.54,164,164,164,164.8,164.9,164,164,163.9,163.9,164,164,164.4,164.5,164.1,164,164.1,33.1,1
93.8,89.856,-1.81,3.2,10.91,2.609,8.15,8.2,98.32,9.5,8.15,85,1274.6,3.1,10.1,830.2,816.3,0,36.63,162,162,161.9,162.8,162.8,161.9,161.9,161.9,161.9,162,161.9,162.4,162.4,162,162,162,34.1,1
93.9,89.843,-1.88,3.2,11.32,2.676,8.36,8.41,98.3,9.5,8.37,85.2,1297.1,2.9,10.2,831.2,816.6,0.1,36.51,161.9,161.8,161.6,161.7,161.8,161.3,162,161.8,162,161.9,161.7,161.9,161.9,161.8,161.9,161.9,34.4,0
99.1,89.886,0.75,3.21,10.99,2.62,8.12,8.19,98.28,9.5,8.12,85,1277.6,2.8,10.7,830.5,816.6,0,36.53,162,162,162,162.4,162.7,162,161.8,162,162,162,162,162.1,162,162,162,162,35,0
96.9,89.899,1.37,3.2,10.84,2.631,8.1,8.15,98.27,9.5,8.11,85.1,1281.4,2.3,9.6,830.7,816.2,0,36.55,162,162,162,162.8,162.9,162,162,162,162,162,162.1,162.4,162.3,162,162,161.9,34.7,0
99.1,89.946,-0.3,3.19,11.3,2.592,8.04,8.09,98.26,9.5,8.05,84,1263.3,3,10.3,830.1,816.4,0,36.55,162,162,162,162.8,162.9,162,162,162,161.8,162,162.1,162.5,162.5,162,161.9,162.1,34.8,0
97.5,89.89,0.87,3.19,11.37,2.62,8.12,8.17,98.26,9.5,8.13,83.9,1275.4,2.5,10.6,830.1,816.6,0,36.62,162,162,162,162.9,162.9,162,162,162,162,162,162,162.4,162.5,162,162,162,34.7,0
97.5,89.928,0.06,3.19,11.25,2.598,8.03,8.09,98.25,9.5,8.05,83.3,1264.8,3,10,830.7,816.4,0,36.53,162,162,162,163,163,162,162,162,162,162,162.1,162.6,162.6,162,162,162,34.8,0
97.7,89.857,1.15,3.2,11.29,2.626,8.13,8.18,98.26,9.5,8.14,84,1278.9,2.6,10.3,829.8,816,0,36.52,162,162,162,162.8,162.8,161.9,162,162,161.9,162,161.9,162.5,162.5,162,162,162,34.8,0
97.1,89.89,0.93,3.2,10.93,2.621,8.14,8.19,98.29,9.5,8.14,84.2,1276.5,2.8,10.2,829.8,816,0.11,36.64,162,162,162,162.9,162.9,162,162,162,162,162,162.1,162.6,162.5,162,162,162,35,0
97.5,89.9,1.42,3.2,10.84,2.634,8.1,8.16,98.27,9.5,8.1,84.8,1283.2,3,9.8,829.5,815.2,0,36.62,162,162,162,162.9,162.9,162,162,162,162,162,162,162.5,162.4,162,162,162,34.9,0
97.4,89.935,0.45,3.2,11,2.61,8.09,8.14,98.28,9.5,8.1,83.9,1270.3,2.9,9.9,829.6,818.3,0,36.64,162,162,162,163,163,162,162,162,162,162,162,162.6,162.6,162,162,162.1,34.9,0
98.1,89.939,-0.67,3.19,10.97,2.608,8.03,8.07,98.23,9.5,8.04,84.2,1272.4,2.8,10.6,829.2,814.8,0,36.61,162,162,162,162.7,162.9,162,162,162,162,162,162.1,162.4,162.4,162,162,162,34.9,0
97.2,89.895,-0.51,3.2,10.99,2.614,8.12,8.17,98.26,9.5,8.13,84,1276,2.3,10.3,829.6,815.5,0,36.62,162,162,162,162.9,162.9,162,162,162,162.1,162,161.9,162.5,162.5,162,161.9,162,35,0
99.2,90.001,-0.57,3.2,10.99,2.61,8.07,8.13,98.31,9.5,8.09,84.4,1269.5,2.9,9.7,829.8,815.6,0,36.52,162,162,162,163,163,162,162,162,162.1,162,162,162.6,162.6,162,161.9,162.1,34.5,0
99.1,90.015,-0.9,3.2,10.87,2.6,7.99,8.06,98.28,9.5,8,83,1266.8,3,10.2,829.7,815.4,0,36.59,162,162.1,162,163,163,162,162,162,162,162,162,162.5,162.5,162,162,162,35,0
96.6,89.982,-1.33,3.2,11.15,2.595,8.07,8.13,98.28,9.5,8.08,84.4,1266.7,3,9.6,830.2,816.3,0,36.64,162,162,162,162.9,163,162.1,162,162,162,162,161.9,162.4,162.5,162,162,162,35,1
97.9,89.947,0.33,3.2,11.13,2.628,8.05,8.11,98.27,9.5,8.06,84.2,1278.3,2.7,10.5,830.2,815.9,0.13,36.64,162,162,162,162.8,162.9,162,162,162,162,162,162,162.5,162.6,162,162.1,162,34.9,1
